Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:57:04,0.96,153.36,1.11,1534.90,1468.00
2024-07-19 22:57:04,0.96,153.41,1.11,1534.10,1468.00
2024-07-19 22:57:04,0.96,153.34,1.11,1535.90,1482.00
2024-07-19 22:57:04,0.96,153.38,1.11,1534.60,1464.00
2024-07-19 22:57:04,0.96,153.38,1.11,1535.90,1474.00
2024-07-19 22:57:04,0.96,153.63,1.11,1535.70,1478.00
2024-07-19 22:57:05,0.96,153.37,1.11,1536.10,1468.00
2024-07-19 22:57:05,0.96,153.36,1.11,1534.30,1474.00
2024-07-19 22:57:05,0.96,153.59,1.11,1534.90,1468.00
2024-07-19 22:57:05,0.96,153.40,1.11,1537.40,1472.00
2024-07-19 22:57:05,0.96,153.35,1.11,1535.20,1468.00
2024-07-19 22:57:05,0.96,153.39,1.11,1534.10,1468.00
2024-07-19 22:57:05,0.96,153.35,1.12,1532.90,1464.00
2024-07-19 22:57:05,0.96,153.40,1.11,1534.60,1468.00
2024-07-19 22:57:05,0.96,153.33,1.11,1533.80,1468.00
2024-07-19 22:57:05,0.96,153.41,1.11,1535.10,1474.00
2024-07-19 22:57:05,0.96,153.48,1.11,1537.10,1474.00
2024-07-19 22:57:05,0.96,153.40,1.11,1536.00,1482.00
2024-07-19 22:57:05,0.96,153.40,1.11,1536.10,1474.00
2024-07-19 22:57:05,0.96,153.59,1.11,1533.30,1468.00
2024-07-19 22:57:05,0.96,153.40,1.11,1535.50,1474.00
2024-07-19 22:57:05,0.96,153.39,1.11,1535.90,1474.00
2024-07-19 22:57:06,0.96,153.51,1.11,1535.90,1464.00
2024-07-19 22:57:06,0.96,153.40,1.11,1535.00,1474.00
2024-07-19 22:57:06,0.96,153.37,1.11,1537.60,1472.00
2024-07-19 22:57:06,0.96,153.52,1.11,1535.90,1474.00
2024-07-19 22:57:06,0.96,153.38,1.11,1534.60,1468.00
2024-07-19 22:57:06,0.96,153.40,1.11,1534.20,1468.00
2024-07-19 22:57:06,0.96,153.55,1.11,1533.10,1474.00
2024-07-19 22:57:06,0.96,153.36,1.11,1533.20,1472.00
2024-07-19 22:57:06,0.96,153.35,1.11,1535.10,1474.00
2024-07-19 22:57:06,0.96,153.48,1.11,1535.60,1474.00
2024-07-19 22:57:06,0.96,153.36,1.11,1537.90,1472.00
2024-07-19 22:57:06,0.96,153.41,1.11,1534.20,1472.00
2024-07-19 22:57:06,0.96,153.48,1.11,1537.90,1468.00
2024-07-19 22:57:06,0.96,153.35,1.12,1537.20,1474.00
2024-07-19 22:57:06,0.96,153.35,1.11,1536.10,1474.00
2024-07-19 22:57:07,0.96,153.57,1.12,1537.40,1468.00
2024-07-19 22:57:07,0.96,153.39,1.11,1534.80,1464.00
2024-07-19 22:57:07,0.96,153.40,1.11,1534.30,1474.00
2024-07-19 22:57:07,0.96,153.35,1.11,1534.80,1474.00
2024-07-19 22:57:07,0.96,153.53,1.11,1534.00,1468.00
2024-07-19 22:57:07,0.96,153.34,1.11,1534.60,1474.00
2024-07-19 22:57:07,0.96,153.38,1.11,1537.20,1474.00
2024-07-19 22:57:07,0.96,153.62,1.11,1535.00,1474.00
2024-07-19 22:57:07,0.96,153.33,1.12,1536.60,1474.00
2024-07-19 22:57:07,0.96,153.35,1.11,1534.80,1468.00
2024-07-19 22:57:07,0.96,153.37,1.11,1534.10,1472.00
2024-07-19 22:57:07,0.96,153.58,1.11,1535.10,1468.00
2024-07-19 22:57:07,0.96,153.37,1.11,1533.50,1472.00
2024-07-19 22:57:07,0.96,153.38,1.11,1535.00,1474.00
2024-07-19 22:57:07,0.96,153.54,1.11,1533.30,1472.00
2024-07-19 22:57:08,0.96,153.35,1.11,1535.10,1482.00
2024-07-19 22:57:08,0.96,153.34,1.11,1535.50,1474.00
2024-07-19 22:57:08,0.96,153.56,1.11,1535.60,1478.00
2024-07-19 22:57:08,0.96,153.36,1.11,1535.60,1474.00
2024-07-19 22:57:08,0.96,153.33,1.11,1535.10,1474.00
2024-07-19 22:57:08,0.96,153.42,1.11,1533.20,1472.00
2024-07-19 22:57:08,0.96,153.33,1.11,1534.10,1472.00
